Year,Coal and coke CO2 emissions,Petroleum and other liquids CO2 emissions,CO2 emissions,Consumed natural gas CO2 emissions
1949,1118,820,2207,270
1950,1152,918,2382,313
1951,1167,990,2527,370
1952,1052,1025,2473,396
1953,1057,1065,2537,415
1954,904,1081,2422,437
1955,1038,1175,2685,472
1956,1055,1218,2777,504
1957,1004,1218,2757,535
1958,887,1256,2703,560
1959,885,1307,2807,615
1960,915,1349,2914,650
1961,895,1369,2943,679
1962,922,1422,3065,721
1963,969,1459,3185,756
1964,1019,1495,3317,803
1965,1075,1559,3462,828
1966,1127,1635,3654,892
1967,1107,1701,3749,942
1968,1146,1810,3965,1008
1969,1148,1901,4135,1085
1970,1134,1983,4261,1144
1971,1076,2056,4312,1180
1972,1121,2219,4532,1192
1973,1206,2340,4722,1176
1974,1185,2241,4561,1135
1975,1181,2202,4426,1044
1976,1266,2365,4694,1064
1977,1300,2494,4836,1042
1978,1298,2540,4884,1046
1979,1410,2455,4947,1082
1980,7494,8385,18722,2842
1981,7520,7983,18347,2844
1982,7653,7792,18300,2855
1983,7858,7718,18489,2913
1984,8214,8187,19615,3214
1985,8506,8186,20041,3350
1986,8605,8524,20524,3395
1987,8940,8661,21173,3572
1988,9208,8888,21849,3753
1989,9218,9025,22169,3925
1990,9104,9074,22150,3972
1991,8814,9102,21972,4056
1992,8588,9107,21771,4075
1993,8585,9132,21898,4182
1994,8618,9276,22069,4175
1995,8865,9396,22558,4297
1996,9063,9590,23050,4396
1997,8922,9774,23118,4422
1998,8870,9838,23164,4457
1999,8913,10023,23508,4572
2000,9378,10151,24266,4736
2001,9480,10242,24478,4755
2002,9718,10329,25021,4975
2003,10518,10528,26165,5119
2004,11437,10893,27610,5279
2005,12206,11066,28701,5429
2006,12884,11134,29648,5630
2007,13508,10774,30093,5811
2008,13755,11072,30805,5978
2009,13871,10975,30628,5782
2010,15011,11195,32531,6325
2011,15813,11311,33638,6514
2012,16299,11463,34423,6662
2013,16491,11602,34852,6759
2014,16397,11721,34902,6784
2015,16017,11936,34836,6883
2016,15599,12025,34647,7024
2017,15696,12133,35055,7227
2018,15886,12188,35663,7589
2019,15816,12219,35764,7728
2020,15312,10927,33848,7608
2021,16067,11738,35720,7915
2022,18399,12242,38502,7862
