date,Renewable Ratio,sdg7_renewcon,Difference
2000,2.7352837504406065,3.7,-0.9647162495593937
2001,3.0936396982490137,3.9,-0.8063603017509862
2002,3.27418673426278,4.4,-1.1258132657372202
2003,2.6647867465632706,5.4,-2.7352132534367297
2004,2.8396279594137543,6.3,-3.4603720405862455
2005,3.091013165426445,7.3,-4.208986834573555
2006,3.3431869369369362,8.6,-5.256813063063063
2007,4.27130127402607,10.5,-6.22869872597393
2008,4.324909747292419,10.2,-5.87509025270758
2009,4.632403779672735,10.7,-6.067596220327264
2010,5.104052573932091,11.6,-6.495947426067908
2011,6.161538461538462,12.5,-6.338461538461538
2012,6.307269395235187,13.6,-7.292730604764813
2013,6.30359560704077,13.6,-7.2964043929592295
2014,6.92620387742339,14.0,-7.07379612257661
2015,7.0816453723901525,14.6,-7.518354627609847
2016,6.805351480937283,14.2,-7.3946485190627165
2017,7.214005433142166,15.2,-7.985994566857833
2018,7.609626917984266,16.0,-8.390373082015735
2019,8.640973630831644,17.1,-8.459026369168358
2020,10.189594752448556,18.6,-8.410405247551445
