id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
KEN,15.18,1.8,2.42,1.6
KEN,17.05,2.1,1.93,2.4
KEN,18.91,2.5,1.54,2.8
KEN,16.0,3.0,1.22,2.8
KEN,22.64,3.4,1.23,2.9
KEN,24.52,4.0,1.28,2.7
KEN,26.42,4.6,1.27,2.6
KEN,28.34,5.2,1.47,2.9
KEN,30.28,5.8,1.66,2.7
KEN,23.0,6.4,1.89,2.2
KEN,19.2,7.1,1.7,2.5
KEN,36.16,7.9,1.72,2.7
KEN,38.13,8.7,1.53,3.0
KEN,40.09,9.7,1.67,3.2
KEN,36.0,10.8,1.58,3.1
KEN,41.6,12.1,1.73,3.7
KEN,53.1,13.8,1.88,3.7
KEN,55.83,15.55,1.64,3.3
KEN,61.18,17.4,1.67,3.8
KEN,69.7,19.5,1.7,3.9
KEN,71.49,21.7,1.9,4.0
KEN,76.54,23.9,2.03,3.8733333333333317
KEN,79.67489935992805,22.547270651219744,2.01,3.9548917748917733
KEN,83.25825860455072,23.84217148414355,1.8241897233201585,4.0364502164502145
KEN,86.84161784917339,25.137072317067346,1.836096837944664,4.118008658008656
